iter	Passed	Remaining
1119	4846	346
1120	4849	341
1121	4852	337
1122	4855	332
1123	4858	328
1124	4861	324
1125	4864	319
1126	4868	315
1127	4871	310
1128	4874	306
1129	4877	302
1130	4880	297
1131	4883	293
1132	4886	288
1133	4889	284
1134	4892	280
1135	4895	275
1136	4898	271
1137	4901	267
1138	4904	262
1139	4907	258
1140	4911	253
1141	4915	249
1142	4919	245
1143	4922	240
1144	4925	236
1145	4928	232
1146	4931	227
1147	4934	223
1148	4938	219
1149	4941	214
1150	4943	210
1151	4946	206
1152	4950	201
1153	4953	197
1154	4955	193
1155	4959	188
1156	4962	184
1157	4964	180
1158	4968	175
1159	4971	171
1160	4974	167
1161	4977	162
1162	4980	158
1163	4983	154
1164	4986	149
1165	4989	145
1166	4992	141
1167	4995	136
1168	4998	132
1169	5001	128
1170	5004	123
1171	5007	119
1172	5018	115
1173	5027	111
1174	5036	107
1175	5041	102
1176	5045	98
1177	5048	94
1178	5051	89
1179	5054	85
1180	5057	81
1181	5060	77
1182	5063	72
1183	5066	68
1184	5071	64
1185	5075	59
1186	5080	55
1187	5083	51
1188	5086	47
1189	5089	42
1190	5092	38
1191	5095	34
1192	5098	29
1193	5101	25
1194	5104	21
1195	5109	17
1196	5113	12
1197	5116	8
1198	5119	4
1199	5122	0
